Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
Shang-Chi;Shang-Chi;;Marvel Comics;178.38;79.29;M;1973.0;Brown;Black;15.0;good
Shadow King;Amahl Farouk;;Marvel Comics;185.48;149.19;;1979.0;Red;;15.0;good
Shadow Lass;Tasmia Mallor;Talok VIII;DC Comics;173.11;54.25;F;N/A;Black;Black;10.0;good
Sebastian Shaw;Sebastian Hiram Shaw;;Marvel Comics;;;M;N/A;;;85.0;good
Silk;Cindy Moon;;Marvel Comics;;;F;N/A;Brown;Black;50.0;good
Shocker;Herman Schultz;;Marvel Comics;175.62;79.4;M;N/A;Brown;Brown;10.0;good
Scorpia;Elaine Coll;;Marvel Comics;;;F;1995.0;Green;Red;30.0;moderate
Scorpion;MacDonald Gargan;;Marvel Comics;211.06;310.21;M;1964.0;Brown;Brown;55.0;average
Scarlet Witch;Wanda Maximoff;Wundagore Mountain, Transia;Marvel Comics;170.18;59.69;F;1964.0;Blue;Brown;10.0;high
Scarlet Spider II;Kaine Parker;;Marvel Comics;193.21;113.66;M;1994.0;Brown;Brown;55.0;high
Scarlet Spider;Benjamin Reilly;Place of birth unknown;Marvel Comics;178.79;74.97;M;N/A;Blue;Blond;55.0;good
Sentry;Robert Reynolds;;Marvel Comics;188.84;87.95;M;2000.0;Blue;Blond;100.0;good
Savage Dragon;Kurr;;Image Comics;;;M;N/A;;;70.0;good
Sandman;William Baker;Queens, New York;Marvel Comics;185.37;203.29;M;1963.0;Brown;Brown;75.0;average
Sasquatch;Walter Langkowski;Edmonton, Alberta, Canada ;Marvel Comics;305.02;900.7;M;N/A;Red;Orange;80.0;good
Sage;Tessa;Place of birth unknown;Marvel Comics;170.27;61.51;F;N/A;Blue;Black;10.0;good
Scarecrow;Jonathan Crane;;DC Comics;183.09;63.95;M;1941.0;Blue;Brown;10.0;high
Sabretooth;Victor Creed;;Marvel Comics;198.44;171.74;M;1977.0;Amber;Blond;50.0;average
Ronin;Clint Barton;Waverly, Iowa ;Marvel Comics;191.05;104.16;M;N/A;Blue;Blond;15.0;average
Rorschach;Walter Joseph Kovacs;;DC Comics;168.6;63.06;M;1986.0;Blue;Red;10.0;good
Rocket Raccoon;Rocket Raccoon;;Marvel Comics;122.77;25.73;M;1976.0;Brown;Brown;5.0;average
Rogue;Anna Marie;Caldecott County, Mississippi ;Marvel Comics;173.48;54.43;F;1981.0;Green;Brown / White;10.0;good
Robin VI;Carrie Kelley;Gotham City;DC Comics;;;F;N/A;Green;Red;10.0;average
Robin V;Damian Wayne;;DC Comics;137.24;38.46;M;N/A;Blue;Black;10.0;good
She-Hulk;Jennifer Walters;Los Angeles, California;Marvel Comics;201.68;315.26;F;N/A;Green;Green;100.0;high
Ripcord;Miranda Leevald;;Marvel Comics;180.86;72.57;F;N/A;Green;Black;N/A;N/A
Robin III;Tim Drake;;DC Comics;165.94;56.03;M;1989.0;Blue;Black;15.0;high
Robin II;Jason Todd;;DC Comics;183.41;101.63;M;N/A;Blue;Red;15.0;good
Rick Flag;Richard Rogers Flag;;DC Comics;185.78;85.91;M;1959.0;Blue;Brown;15.0;high
Rip Hunter;Richard Hunter;;DC Comics;;;M;N/A;Blue;Blond;10.0;high
Rhino;Aleksei Mikhailovich Sytsevich;;Marvel Comics;196.94;320.96;M;N/A;Brown;Brown;80.0;moderate
Riddler;Edward Nigma;;DC Comics;;;M;1948.0;;;10.0;high
Redeemer III;Eddie Frank;;Image Comics;;;M;N/A;;;N/A;N/A
Redeemer II;Phil Timper;;Image Comics;;;M;N/A;;;N/A;N/A
Red Tornado;John Smith;;DC Comics;185.95;146.22;M;N/A;Green;No Hair;40.0;good
Robin;Dick Grayson;;DC Comics;178.21;79.49;M;1940.0;Blue;Black;15.0;high
Red Robin;Tim Drake;Gotham City;DC Comics;165.39;56.35;M;1989.0;Blue;Black;15.0;high
Sauron;Sauron;;J. R. R. Tolkien;279.9;;M;N/A;;;85.0;high
Red Hood;Jason Todd;;DC Comics;183.8;81.15;M;N/A;Blue;Black;15.0;good
Red Hulk;Thaddeus E. Ross;;Marvel Comics;213.98;630.09;M;2008.0;Yellow;Black;100.0;average
Red Mist;Chris Genovese;;Icon Comics;;;M;N/A;;;10.0;moderate
Red Arrow;Roy Harper;;DC Comics;180.49;83.58;M;2007.0;Green;Red;20.0;good
Ray;Ray Terrill;;DC Comics;178.39;70.96;M;N/A;Green;Red;10.0;average
Raven;Rachel Roth;Azarath;DC Comics;165.01;50.41;F;1980.0;Indigo;Black;10.0;average
Rambo;John Rambo;Bowie, Arizona;N/A;178.95;83.73;M;1972.0;Brown;Black;15.0;good
Razor-Fist II;Douglas Scott;;Marvel Comics;191.11;117.57;M;1981.0;Blue;No Hair;N/A;N/A
Red Skull;Johann Shmidt;An unidentified village in Germany;Marvel Comics;188.32;108.08;M;1965.0;Blue;No Hair;10.0;good
Quill;Maxwell Jordan;;Marvel Comics;163.63;56.11;M;N/A;Brown;Brown;10.0;moderate
Quicksilver;Pietro Django Maximoff;Wundagore Mountain, Transia (in Eastern Europe);Marvel Comics;183.48;79.36;M;N/A;Blue;Silver;30.0;good
Pyro;St. John Allerdyce;Sydney, Australia ;Marvel Comics;178.72;68.48;M;N/A;Blue;Blond;10.0;moderate
Q;Q;;Star Trek;;;M;N/A;;;15.0;high
Question;Charles Victor Szasz;;DC Comics;188.41;83.26;M;1967.0;Blue;Blond;15.0;high
Punisher;Frank Castle;Queens, New York;Marvel Comics;183.26;90.9;M;N/A;Blue;Black;20.0;good
Ra's Al Ghul;Ra's Al Ghul;Egypt;DC Comics;193.06;97.76;M;1971.0;Green;Grey;30.0;high
Purple Man;Zebediah Killgrave;;Marvel Comics;180.3;74.13;M;1964.0;Purple;Purple;10.0;average
Psylocke;Elizabeth Braddock;Braddock Manor, England;Marvel Comics;180.88;70.96;F;1986.0;Blue;Purple;35.0;good
Professor X;Charles Francis Xavier;New York, New York;Marvel Comics;183.74;86.89;M;1963.0;Blue;No Hair;10.0;high
Proto-Goblin;Nels Van Adder;;Marvel Comics;;;M;1990.0;Green;Blond;40.0;good
Predator;Yautja;Yautja Prime;Dark Horse Comics;213.59;234.19;M;1987.0;;;30.0;good
Power Man;Luke Cage;;Marvel Comics;;;M;N/A;;;N/A;N/A
Polaris;Lorna Dane;Presumably northern California - not confirmed;Marvel Comics;170.9;52.89;F;1968.0;Green;Green;75.0;good
Poison Ivy;Pamela Isley;Seattle, Washington;DC Comics;168.14;50.94;F;N/A;Green;Red;15.0;high
Power Girl;Kara Zor-L;;DC Comics;180.59;81.64;F;1976.0;blue;blond;100.0;high
Plastique;Bette Sans Souci;;DC Comics;168.96;55.76;F;N/A;Blue;Red;10.0;average
Plastic Man;Patrick O'Brian;;DC Comics;185.71;80.28;M;1941.0;Blue;Black;65.0;average
Professor Zoom;Eobard Thawne;;DC Comics;180.79;81.8;M;1963.0;Blue;Strawberry Blond;10.0;high
Plantman;Samuel Smithers;London, England;Marvel Comics;183.54;87.62;M;1963.0;Green;Grey;60.0;good
Phantom Stranger;Judas Iscariot;;DC Comics;188.22;83.84;M;N/A;Black;Black;10.0;high
Phantom Girl;Tinya Wazzo;;DC Comics;168.58;54.99;F;2004.0;Blue;Black;10.0;moderate
Peter Petrelli;Peter Petrelli;;NBC - Heroes;;;M;N/A;;;30.0;good
Phantom;Christopher Walker;;DC Comics;;;M;N/A;;;50.0;good
Phoenix;Jean Grey;;Marvel Comics;168.89;52.07;F;1963.0;Green;Red;100.0;high
Penguin;Oswald Chesterfield Cobblepot;;DC Comics;157.89;79.13;M;1941.0;Blue;Black;10.0;good
Penance II;Robert Baldwin;Springdale, Connecticut ;Marvel Comics;183.72;89.9;M;2007.0;Blue;Blond;20.0;average
Plastic Lad;Luke O'Brian;;DC Comics;;;M;N/A;;;N/A;N/A
Paul Blart;Paul Blart;;Sony Pictures;170.43;117.6;M;N/A;;;15.0;low
Ozymandias;Adrian Veidt;;DC Comics;;;M;N/A;Blue;Blond;20.0;high
Overtkill;Nicholas Rocca;;Image Comics;;;M;N/A;;;N/A;N/A
Osiris;Amon Tomaz;;DC Comics;;;M;N/A;Brown;Brown;85.0;good
Oracle;Barbara Gordon;;DC Comics;178.12;59.33;F;1989.0;Blue;Red;15.0;good
Onslaught;Onslaught;;Marvel Comics;305.41;405.08;M;1996.0;Red;No Hair;100.0;high
One Punch Man;Saitama;;Shueisha;175.64;69.95;M;N/A;;No Hair;100.0;moderate
Omega Red;Arkady Gregorivich;;Marvel Comics;211.79;191.4;M;N/A;Red;Blond;N/A;N/A
Omniscient;Omniscient is the closest English word that compares to his alien tongue.;Another Unknown World;Team Epic TV;180.22;65.3;M;N/A;Brown;Black;N/A;N/A
Odin;Odin Borson;Asgard;Marvel Comics;206.15;293.35;M;N/A;Blue;White;85.0;high
Nova;Richard Rider;Queens, NY;Marvel Comics;185.25;86.37;M;1976.0;Brown;Brown;85.0;high
Nova;Frankie Raye;;Marvel Comics;163.93;59.72;F;1975.0;White;Red;60.0;good
Offspring;Luke O'Brian;;DC Comics;;;M;N/A;;;10.0;average
Nite Owl II;Daniel Dreiberg;;DC Comics;;;M;N/A;;;N/A;N/A
Northstar;Jean-Paul Beaubier;Montreal, Qu�bec, Canada ;Marvel Comics;180.66;83.02;M;1979.0;Blue;Black;20.0;average
Niki Sanders;Nicole Sanders;;NBC - Heroes;;;F;N/A;Blue;Blond;55.0;good
Nick Fury;Nicholas Joseph Fury;New York City;Marvel Comics;185.88;99.28;M;1963.0;Brown;Brown / White;15.0;good
Nightwing;Dick Grayson;Gotham City;DC Comics;178.31;79.07;M;N/A;Blue;Black;15.0;high
Nightcrawler;Kurt Wagner;Somewhere in the Bavarian Alps;Marvel Comics;175.3;88.14;M;N/A;Yellow;Indigo;10.0;average
Negasonic Teenage Warhead;Ellie Phimister;;Marvel Comics;;;F;N/A;Black;Black;10.0;average
Nathan Petrelli;Nathan Petrelli;;NBC - Heroes;;;M;N/A;Brown;;N/A;N/A
Namorita;Namorita Prentiss;Atlantis Outskirts;Marvel Comics;168.79;101.41;F;1972.0;Blue;Blond;75.0;average
Namor;Namor McKenzie;Atlantis;Marvel Comics;188.39;125.24;M;1939.0;Grey;Black;95.0;good
Mystique;Raven Darkholme;;Marvel Comics;178.65;54.96;F;N/A;Yellow (without irises);Red / Orange;15.0;good
Namora;Aquaria Nautica Neptunia;Unnamed Atlantean outpost;Marvel Comics;180.85;85.53;F;1947.0;Blue;Blond;85.0;average
Mysterio;Quentin Beck;New York, New York ;Marvel Comics;180.47;79.93;M;1964.0;Brown;No Hair;10.0;high
Multiple Man;James Arthur;Los Alamos, New Mexico;Marvel Comics;180.92;70.18;M;N/A;Blue;Brown;15.0;good
Ms Marvel II;Sharon Ventura;Pullman, Washington;Marvel Comics;173.45;61.61;F;N/A;Blue;Red;65.0;moderate
Mr Incredible;Robert Parr;;Dark Horse Comics;201.81;158.2;M;2004.0;Blue;Blond;85.0;average
Mr Immortal;Craig Hollis;;Marvel Comics;188.81;70.09;M;N/A;Blue;Blond;10.0;average
Morph;Kevin Sydney;Pittsburgh, Pennsylvania ;Marvel Comics;178.31;79.88;M;N/A;White;No Hair;N/A;N/A
Moonstone;Karla Sofen;Van Nuys, California;Marvel Comics;180.72;59.78;F;1975.0;Blue;Blond;70.0;average
Moses Magnum;Moses Magnum;;Marvel Comics;175.06;72.87;M;1975.0;Brown;Black;30.0;good
Morlun;Morlun;;Marvel Comics;188.26;79.52;M;2001.0;White / Red;Black;60.0;good
Moon Knight;Marc Spector ;Chicago, Illinois;Marvel Comics;188.71;101.35;M;1975.0;Brown;Brown;40.0;average
Monica Dawson;Monica Dawson;;NBC - Heroes;;;F;N/A;;;10.0;average
Molten Man;Mark Raxton;;Marvel Comics;196.96;248.27;M;1965.0;Gold;Gold;75.0;average
Monarch;Nathaniel Christopher Adam;;DC Comics;193.57;90.72;M;1987.0;Blue;White;100.0;high
Mogo;Mogo;;DC Comics;;;M;1985.0;;;N/A;N/A
MODOK;George Tarleton;;Marvel Comics;366.2;338.21;M;N/A;White;Brownn;20.0;high
Mohinder Suresh;Mohinder Suresh;India;NBC - Heroes;;;M;N/A;;;N/A;N/A
